movie, ghost world, 2000
director, ghost world, terry zwigoff
actress, ghost world, thora birch, enid
actress, ghost world, scarlett johansson, rebecca
actor, ghost world, steve buscemi, seymour
actor, ghost world, brad renfro, josh
actress, ghost world, illeana douglas, roberta allsworth
actor, ghost world, bob balaban, enid s dad
actress, ghost world, stacey travis, dana
actor, ghost world, charles c stevenson jr, norman
actor, ghost world, dave sheridan, doug
actor, ghost world, tom mcgowan, joe
actress, ghost world, debra azar, melora
actor, ghost world, brian george, sidewinder boss
actor, ghost world, pat healy, john ellis
actress, ghost world, rini bell, graduation speaker
actor, ghost world, t j thyne, todd
actor, ghost world, ezra buzzington, weird al
actress, ghost world, lindsey girardot, vanilla  graduation rapper
actress, ghost world, joy bisco, jade  graduation rapper
actress, ghost world, venus demilo, ebony  graduation rapper
actress, ghost world, ashley peldon, margaret  art class
actor, ghost world, chachi pittman, phillip  art class
actress, ghost world, janece jordan, black girl  art class
actress, ghost world, kaileigh martin, snotty girl  art class
actor, ghost world, alexander fors, hippy boy  art class
actor, ghost world, marc vann, jerome the angry guy  record collector
actor, ghost world, james sie, steven the asian guy  record collector
actor, ghost world, paul keith, paul the fussy guy  record collector
actor, ghost world, david cross, gerrold the pushy guy  record collector
actor, ghost world, j j bad boy jones, fred chatman  blues club
actress, ghost world, dylan jones, red haired girl  blues club
actor, ghost world, martin grey, m c  blues club
actor, ghost world, steve pierson, blueshammer member  blues club
actor, ghost world, jake la botz, blueshammer member  blues club
actor, ghost world, johnny irion, blueshammer member  blues club
actor, ghost world, nate wood, blueshammer member  blues club
actor, ghost world, charles schneider, joey mccobb the stand up comic
actor, ghost world, sid hillman, zine o phobia creep
actor, ghost world, joshua wheeler, zine o phobia creep
actor, ghost world, patrick fischler, masterpiece video clerk
actor, ghost world, daniel graves, masterpiece video customer
actor, ghost world, matt doherty, masterpiece video employee
actor, ghost world, joel michaely, porno cashier
actress, ghost world, debi derryberry, rude coffee customer
actor, ghost world, joseph sikora, reggae fan
actor, ghost world, brett gilbert, alien autopsy guy
actor, ghost world, alex solowitz, cineplex manager
actor, ghost world, tony ketcham, alcoholic customer
actress, ghost world, mary bogue, popcorn customer
actor, ghost world, brian jacobs, soda customer
actor, ghost world, patrick yonally, garage sale hipster
actress, ghost world, lauren bowles, angry garage sale woman
actress, ghost world, lorna scott, phyllis the art show curator
actor, ghost world, jeff murray, roberta s colleague
actor, ghost world, jerry rector, dana s co worker
actor, ghost world, john bunnell, seymour s boss
actress, ghost world, diane salinger, psychiatrist
actress, ghost world, anna berger, seymour s mother
actor, ghost world, bruce glover, feldman the wheel chair guy
actress, ghost world, joan m blair, lady crossing street slowly
actor, ghost world, michael chanslor, orange colored sky keyboarder graduation band
actress, ghost world, teri garr, maxine
actor, ghost world, alan heitz, driver
actor, ghost world, ernie hernandez, orange colored sky guitarist graduation band
actor, ghost world, felice hernandez, orange colored sky singer graduation band
actor, ghost world, larry klein, orange colored sky drummer graduation band
actor, ghost world, james matusky, reggae fan 2
actor, ghost world, edward t mcavoy, mr satanist
actress, ghost world, margaret kontra palmer, lady at garage sale
