movie, the godfather, 1972
director, the godfather, francis ford coppola
actor, the godfather, marlon brando, don vito corleone
actor, the godfather, al pacino, michael corleone
actor, the godfather, james caan, santino sonny corleone
actor, the godfather, richard s castellano, pete clemenza
actor, the godfather, robert duvall, tom hagen
actor, the godfather, sterling hayden, capt mark mccluskey
actor, the godfather, john marley, jack woltz
actor, the godfather, richard conte, emilio barzini
actor, the godfather, al lettieri, virgil sollozzo
actress, the godfather, diane keaton, kay adams
actor, the godfather, abe vigoda, salvadore sally tessio
actress, the godfather, talia shire, connie
actor, the godfather, gianni russo, carlo rizzi
actor, the godfather, john cazale, fredo
actor, the godfather, rudy bond, ottilio cuneo
actor, the godfather, al martino, johnny fontane
actress, the godfather, morgana king, mama corleone
actor, the godfather, lenny montana, luca brasi
actor, the godfather, john martino, paulie gatto
actor, the godfather, salvatore corsitto, amerigo bonasera
actor, the godfather, richard bright, al neri
actor, the godfather, alex rocco, moe greene
actor, the godfather, tony giorgio, bruno tattaglia
actor, the godfather, vito scotti, nazorine
actress, the godfather, tere livrano, theresa hagen
actor, the godfather, victor rendina, philip tattaglia
actress, the godfather, jeannie linero, lucy mancini
actress, the godfather, julie gregg, sandra corleone
actress, the godfather, ardell sheridan, mrs clemenza
actress, the godfather, simonetta stefanelli, apollonia vitelli corleone
actor, the godfather, angelo infanti, fabrizio
actor, the godfather, corrado gaipa, don tommasino
actor, the godfather, franco citti, calo
actor, the godfather, saro urz, vitelli
actor, the godfather, carmine coppola, piano player in montage scene
actor, the godfather, gian carlo coppola, baptism observer
actress, the godfather, sofia coppola, michael francis rizzi
actor, the godfather, ron gilbert, usher in bridal party
actor, the godfather, anthony gounaris, anthony vito corleone
actor, the godfather, joe lo grippo, sonny s bodyguard
actor, the godfather, sonny grosso, cop with capt mccluskey outside hospital
actor, the godfather, louis guss, don zaluchi outspoken don at the peace conference
actor, the godfather, randy jurgensen, sonny s killer 1
actor, the godfather, tony lip, wedding guest
actor, the godfather, frank macetta,
actor, the godfather, lou martini jr, boy at wedding
actor, the godfather, father joseph medeglia, priest at baptism
actor, the godfather, rick petrucelli, man in passenger seat when michael is driven to the hospital
actor, the godfather, burt richards, floral designer
actor, the godfather, sal richards, drunk
actor, the godfather, tom rosqui, rocco lampone
actor, the godfather, frank sivero, extra
actress, the godfather, filomena spagnuolo, extra at wedding scene
actor, the godfather, joe spinell, willie cicci
actor, the godfather, gabriele torrei, enzo robutti the baker
actor, the godfather, nick vallelonga, wedding party guest
actor, the godfather, ed vantura, wedding guest
actor, the godfather, matthew vlahakis, clemenza s son pushing toy car in driveway

movie, the godfather part ii, 1974
director, the godfather part ii, francis ford coppola
actor, the godfather part ii, al pacino, don michael corleone
actor, the godfather part ii, robert duvall, tom hagen
actress, the godfather part ii, diane keaton, kay corleone
actor, the godfather part ii, robert de niro, vito corleone
actor, the godfather part ii, john cazale, fredo corleone
actress, the godfather part ii, talia shire, connie corleone
actor, the godfather part ii, lee strasberg, hyman roth
actor, the godfather part ii, michael v gazzo, frankie pentangeli
actor, the godfather part ii, g d spradlin, sen pat geary
actor, the godfather part ii, richard bright, al neri
actor, the godfather part ii, gastone moschin, don fanucci
actor, the godfather part ii, tom rosqui, rocco lampone
actor, the godfather part ii, bruno kirby, young clemenza peter
actor, the godfather part ii, frank sivero, genco abbandando
actress, the godfather part ii, francesca de sapio, young mama corleone
actress, the godfather part ii, morgana king, older carmella mama corleone
actress, the godfather part ii, marianna hill, deanna dunn corleone
actor, the godfather part ii, leopoldo trieste, signor roberto landlord
actor, the godfather part ii, dominic chianese, johnny ola
actor, the godfather part ii, amerigo tot, busetta michael s bodyguard
actor, the godfather part ii, troy donahue, merle johnson
actor, the godfather part ii, john aprea, young sal tessio
actor, the godfather part ii, joe spinell, willie cicci
actor, the godfather part ii, james caan, sonny corleone special participation
actor, the godfather part ii, abe vigoda, sal tessio
actress, the godfather part ii, tere livrano, theresa hagen
actor, the godfather part ii, gianni russo, carlo rizzi
actress, the godfather part ii, maria carta, signora andolini vito s mother
actor, the godfather part ii, oreste baldini, young vito andolini
actor, the godfather part ii, giuseppe sillato, don francesco ciccio
actor, the godfather part ii, mario cotone, don tommasino
actor, the godfather part ii, james gounaris, anthony vito corleone
actress, the godfather part ii, fay spain, mrs marcia roth
actor, the godfather part ii, harry dean stanton, fbi man 1
actor, the godfather part ii, david baker, fbi man 2
actor, the godfather part ii, carmine caridi, carmine rosato
actor, the godfather part ii, danny aiello, tony rosato
actor, the godfather part ii, carmine foresta, policeman
actor, the godfather part ii, nick discenza, bartender
actor, the godfather part ii, father joseph medeglia, father carmelo
actor, the godfather part ii, william bowers, senate committee chairman
actor, the godfather part ii, joseph della sorte, michael s buttonman 1
actor, the godfather part ii, carmen argenziano, michael s buttonman 2
actor, the godfather part ii, joe lo grippo, michael s buttonman 3
actor, the godfather part ii, ezio flagello, impresario
actor, the godfather part ii, livio giorgi, tenor in senza mamma
actress, the godfather part ii, kathleen beller, girl in senza mamma
actress, the godfather part ii, saveria mazzola, signora colombo
actor, the godfather part ii, tito alba, cuban pres fulgencio batista
actor, the godfather part ii, johnny naranjo, cuban translator
actress, the godfather part ii, elda maida, pentangeli s wife
actor, the godfather part ii, salvatore po, vincenzo pentangeli
actor, the godfather part ii, ignazio pappalardo, mosca assassin in sicily
actor, the godfather part ii, andrea maugeri, strollo
actor, the godfather part ii, peter lacorte, signor abbandando
actor, the godfather part ii, vincent coppola, street vendor
actor, the godfather part ii, peter donat, questadt
actor, the godfather part ii, tom dahlgren, fred corngold
actor, the godfather part ii, paul b brown, sen ream
actor, the godfather part ii, phil feldman, senator 1
actor, the godfather part ii, roger corman, senator 2
actress, the godfather part ii, ivonne coll, yolanda
actor, the godfather part ii, joe de nicola, attendant at brothel
actor, the godfather part ii, edward van sickle, ellis island doctor
actress, the godfather part ii, gabriella belloni, ellis island nurse
actor, the godfather part ii, richard watson, customs official
actress, the godfather part ii, venancia grangerard, cuban nurse
actress, the godfather part ii, erica yohn, governess
actress, the godfather part ii, theresa tirelli, midwife
actor, the godfather part ii, roman coppola, sonny corleone as a boy
