movie, american beauty, 1999
director, american beauty, sam mendes
actor, american beauty, kevin spacey, lester burnham
actress, american beauty, annette bening, carolyn burnham
actress, american beauty, thora birch, jane burnham
actor, american beauty, wes bentley, ricky fitts
actress, american beauty, mena suvari, angela hayes
actor, american beauty, chris cooper, col frank fitts usmc
actor, american beauty, peter gallagher, buddy kane
actress, american beauty, allison janney, barbara fitts
actor, american beauty, scott bakula, jim olmeyer
actor, american beauty, sam robards, jim berkley
actor, american beauty, barry del sherman, brad dupree
actress, american beauty, ara celi, sale house woman 1
actor, american beauty, john cho, sale house man 1
actor, american beauty, fort atkinson, sale house man 2
actress, american beauty, sue casey, sale house woman 2
actor, american beauty, kent faulcon, sale house man 3
actress, american beauty, brenda wehle, sale house woman 4
actress, american beauty, lisa cloud, sale house woman 5
actress, american beauty, alison faulk, spartanette 1
actress, american beauty, krista goodsitt, spartanette 2
actress, american beauty, lily houtkin, spartanette 3
actress, american beauty, carolina lancaster, spartanette 4
actress, american beauty, romana leah, spartanette 5
actress, american beauty, chekeshka van putten, spartanette 6
actress, american beauty, emily zachary, spartanette 7
actress, american beauty, nancy anderson, spartanette 8
actress, american beauty, reshma gajjar, spartanette 9
actress, american beauty, stephanie rizzo, spartanette 10
actress, american beauty, heather joy sher, playground girl 1
actress, american beauty, chelsea hertford, playground girl 2
actress, american beauty, amber smith, christy kane
actor, american beauty, joel mccrary, catering boss
actress, american beauty, marissa jaret winokur, mr smiley s counter girl
actor, american beauty, dennis anderson, mr smiley s manager
actor, american beauty, matthew kimbrough, firing range attendant
actress, american beauty, erin cathryn strubbe, young jane burnham
actress, american beauty, elaine corral kendall, newscaster
 
movie, anna, 1987
director, anna, yurek bogayevicz
actress, anna, sally kirkland, anna
actor, anna, robert fields, daniel
actress, anna, paulina porizkova, krystyna
actor, anna, gibby brand, director 1
actor, anna, john robert tillotson, director 2
actress, anna, julianne gilliam, woman author
actor, anna, joe aufiery, stage manager
actor, anna, lance davis, assistant 1
actress, anna, deirdre o connell, assistant 2
actress, anna, ruth maleczech, woman 1 woman named gloria
actress, anna, holly villaire, woman 2 woman with bird
actress, anna, shirl bernheim, woman 3 woman in white veil
actress, anna, ren e coleman, woman 4 woman in bonnet
actress, anna, gabriela farrar, woman 5 woman in black
actress, anna, jordana levine, woman 6 woman in turban
actress, anna, rosalie traina, woman 7 woman in gold
actress, anna, maggie wagner, actress d
actor, anna, charles randall, agent
actress, anna, mimi weddell, agent s secretary
actor, anna, larry pine, baskin
actress, anna, lola pashalinski, producer
actor, anna, stefan schnabel, professor
actor, anna, steven gilborn, tonda
actor, anna, rand stone, george
actress, anna, geena goodwin, daniel s mother
actor, anna, david r ellis, daniel s father
actor, anna, brian kohn, jonathan
actress, anna, caroline aaron, interviewer
actor, anna, vasek simek, czech demonstrator 1
actor, anna, paul leski, czech demonstrator 2
actor, anna, larry attile, czech demonstrator 3
actress, anna, sofia coppola, noodle
actor, anna, theo mayes, dancing dishwasher
actress, anna, nina port, dancing dishwasher
 
movie, barton fink, 1991
director, barton fink, ethan coen
director, barton fink, joel coen
actor, barton fink, john turturro, barton fink
actor, barton fink, john goodman, charlie meadows
actress, barton fink, judy davis, audrey taylor
actor, barton fink, michael lerner, jack lipnick
actor, barton fink, john mahoney, w p mayhew
actor, barton fink, tony shalhoub, ben geisler
actor, barton fink, jon polito, lou breeze
actor, barton fink, steve buscemi, chet
actor, barton fink, david warrilow, garland stanford
actor, barton fink, richard portnow, detective mastrionotti
actor, barton fink, christopher murney, detective deutsch
actor, barton fink, i m hobson, derek
actress, barton fink, meagen fay, poppy carnahan
actor, barton fink, lance davis, richard st claire
actor, barton fink, harry bugin, pete
actor, barton fink, anthony gordon, maitre d
actor, barton fink, jack denbo, stagehand
actor, barton fink, max grod nchik, clapper boy
actor, barton fink, robert beecher, referee
actor, barton fink, darwyn swalve, wrestler
actress, barton fink, gayle vance, geisler s secretary
actor, barton fink, johnny judkins, sailor
actress, barton fink, jana marie hupp, uso girl
actress, barton fink, isabelle townsend, beauty
actor, barton fink, william preston robertson, voice
 
movie, the big lebowski, 1998
director, the big lebowski, joel coen
actor, the big lebowski, jeff bridges, jeffrey lebowski  the dude
actor, the big lebowski, john goodman, walter sobchak
actress, the big lebowski, julianne moore, maude lebowski
actor, the big lebowski, steve buscemi, theodore donald donny kerabatsos
actor, the big lebowski, david huddleston, jeffrey lebowski  the big lebowski
actor, the big lebowski, philip seymour hoffman, brandt
actress, the big lebowski, tara reid, bunny lebowski
actor, the big lebowski, philip moon, woo treehorn thug
actor, the big lebowski, mark pellegrino, blond treehorn thug
actor, the big lebowski, peter stormare, uli kunkel nihilist 1  karl hungus
actor, the big lebowski, flea, nihilist 2
actor, the big lebowski, torsten voges, nihilist 3
actor, the big lebowski, jimmie dale gilmore, smokey
actor, the big lebowski, jack kehler, marty
actor, the big lebowski, john turturro, jesus quintana
actor, the big lebowski, james g hoosier, liam o brien
actor, the big lebowski, carlos leon, maude s thug
actor, the big lebowski, terrence burton, maude s thug
actor, the big lebowski, richard gant, older cop
actor, the big lebowski, christian clemenson, younger cop
actor, the big lebowski, dom irrera, tony the chauffeur
actor, the big lebowski, g rard l heureux, lebowski s chauffeur
actor, the big lebowski, david thewlis, knox harrington
actress, the big lebowski, lu elrod, coffee shop waitress
actor, the big lebowski, mike gomez, auto circus cop
actor, the big lebowski, peter siragusa, gary the bartender
actor, the big lebowski, sam elliott, the stranger
actor, the big lebowski, marshall manesh, doctor
actor, the big lebowski, harry bugin, arthur digby sellers
actor, the big lebowski, jesse flanagan, little larry sellers
actress, the big lebowski, irene olga l pez, pilar sellers housekeeper
actor, the big lebowski, luis colina, corvette owner
actor, the big lebowski, ben gazzara, jackie treehorn
actor, the big lebowski, leon russom, malibu police chief
actor, the big lebowski, ajgie kirkland, cab driver
actor, the big lebowski, jon polito, da fino
actress, the big lebowski, aimee mann, nihilist woman
actor, the big lebowski, jerry haleva, saddam hussein
actress, the big lebowski, jennifer lamb, pancake waitress
actor, the big lebowski, warren keith, funeral director
actress, the big lebowski, wendy braun, chorine dancer
actress, the big lebowski, asia carrera, sherry in logjammin
actress, the big lebowski, kiva dawson, dancer
actress, the big lebowski, robin jones, checker at ralph s
actor, the big lebowski, paris themmen, ''
 
movie, blade runner, 1997
director, blade runner, joseph d kucan
actor, blade runner, martin azarow, dino klein
actor, blade runner, lloyd bell, additional voices
actor, blade runner, mark benninghoffen, ray mccoy
actor, blade runner, warren burton, runciter
actress, blade runner, gwen castaldi, dispatcher and newscaster
actress, blade runner, signy coleman, dektora
actor, blade runner, gary columbo, general doll
actor, blade runner, jason cottle, luthur lance photographer
actor, blade runner, timothy dang, izo
actor, blade runner, gerald deloff, additional voices
actress, blade runner, lisa edelstein, crystal steele
actor, blade runner, gary l freeman, additional voices
